M1,M2,M3,P1,T1,T1F,P2,P3,T2,TR,T2F,P4,T3
0.6,0.3,0.7,1,8.2,NA,0.8,0,26.4,NA,NA,1,54.75
1,0.35,0.9,1,6.2,NA,1,0,35.599998,NA,NA,0.8,61.799999
0.5,0.25,1,0.4,13,38,0.5,0,21.5,NA,NA,1,57
0.8,0.3,0.8,1,6.8,NA,0.571429,0.285714,29.799999,2.299388,55.5,0.75,550
0.9,0.35,0.6,1,7.8,NA,0.833333,0.166667,32,1.380991,56,0.8,56.799999
0.5,0.4,1,0.4,12.5,40,0.5,0,19.5,NA,NA,0,55
0.5,0.5,0.9,0.4,12,32.333332,0,0,26,NA,NA,NA,NA
1,0.45,0.7,1,7.2,NA,1,0,31,NA,NA,1,66
0.8,0.4,1,1,8.2,NA,0.8,0,28.6,NA,NA,1,58.75
0.5,0.3,0.6,0.4,12,33.666668,0,0,26,NA,NA,NA,NA
0.6,0.5,0.7,1,10,NA,0.8,0,26.200001,NA,NA,1,53
0.6,0.4,1,1,6.4,NA,0.6,0,27,NA,NA,1,73
0.6,0.25,1,1,8,NA,0.5,0.333333,28.25,1.061426,57,0.666667,68
0.9,0.3,0.9,1,7.2,NA,0.571429,0.428571,31.75,1.79077,56,1,54.5
0.7,0.3,0.5,1,6.8,NA,1,0,33.599998,NA,NA,0,63.200001
0.8,0.25,0.5,1,8.8,NA,0.8,0,25.6,NA,NA,0,79.25
1,0.4,0.5,1,6.6,NA,1,0,35,NA,NA,0,56.799999
0.6,0.45,0.5,1,6.4,NA,0.8,0,37.799999,NA,NA,0,56.25
0.8,0.4,0.7,1,6.6,NA,1,0,38,NA,NA,1,58.400002
0.9,0.4,0.6,1,7.6,NA,1,0,29,NA,NA,1,57.599998
0.8,0.3,0.5,1,7.8,NA,1,0,29.799999,NA,NA,0,65.400002
0.9,0.4,0.9,1,5.8,NA,1,0,35.400002,NA,NA,1,53
0.9,0.25,0.5,1,7.2,NA,1,0,34.400002,NA,NA,0,72.599998
0.6,0.35,0.5,1,6.2,NA,1,0,38.599998,NA,NA,0.2,58.400002
0.6,0.4,0.7,1,6.4,NA,0.8,0.2,32.5,NA,58,0.75,58
0.8,0.45,0.7,1,6.6,NA,0.8,0,36,NA,NA,1,55.25
1,0.4,0.9,1,5.2,NA,1,0,38.200001,NA,NA,1,57.599998
