file:csv_files/outcome_0.7_0.35_0.8.csv,,p1:1.00,,T1:200.70,,T1F:NoData,,p2:0.73,,p3:0.09,,T2:24.80,,TR:18.00,,T2F:60.00,,p4:1.00,,T3:52.25,,
file:csv_files/outcome_0.7_0.25_0.8.csv,,p1:1.00,,T1:153.60,,T1F:NoData,,p2:0.90,,p3:0.00,,T2:32.70,,TR:NoData,,T2F:NoData,,p4:0.89,,T3:68.12,,
file:csv_files/outcome_0.5_0.45_1.0.csv,,p1:0.50,,T1:162.20,,T1F:338.20,,p2:0.60,,p3:0.00,,T2:20.60,,TR:NoData,,T2F:NoData,,p4:0.67,,T3:54.00,,
file:csv_files/outcome_0.8_0.45_0.7.csv,,p1:1.00,,T1:126.70,,T1F:NoData,,p2:0.73,,p3:0.18,,T2:30.33,,TR:22.00,,T2F:58.00,,p4:0.88,,T3:50.43,,
file:csv_files/outcome_0.5_0.3_0.5.csv,,p1:1.00,,T1:209.40,,T1F:NoData,,p2:0.24,,p3:0.72,,T2:28.14,,TR:189.67,,T2F:60.61,,p4:0.33,,T3:57.00,,
file:csv_files/outcome_0.8_0.4_0.5.csv,,p1:1.00,,T1:80.70,,T1F:NoData,,p2:0.77,,p3:0.23,,T2:33.10,,TR:28.33,,T2F:58.67,,p4:0.20,,T3:66.50,,
file:csv_files/outcome_0.5_0.35_0.5.csv,,p1:0.80,,T1:196.75,,T1F:349.00,,p2:1.00,,p3:0.00,,T2:33.62,,TR:NoData,,T2F:NoData,,p4:0.12,,T3:88.00,,
file:csv_files/outcome_0.5_0.25_0.5.csv,,p1:0.80,,T1:180.62,,T1F:360.50,,p2:0.50,,p3:0.40,,T2:26.00,,TR:37.00,,T2F:60.00,,p4:0.20,,T3:53.00,,
file:csv_files/outcome_0.7_0.5_1.0.csv,,p1:1.00,,T1:128.50,,T1F:NoData,,p2:0.64,,p3:0.18,,T2:24.67,,TR:57.00,,T2F:59.00,,p4:1.00,,T3:51.29,,
file:csv_files/outcome_0.8_0.45_0.6.csv,,p1:1.00,,T1:131.60,,T1F:NoData,,p2:1.00,,p3:0.00,,T2:32.90,,TR:NoData,,T2F:NoData,,p4:0.90,,T3:48.22,,
file:csv_files/outcome_0.7_0.25_0.6.csv,,p1:0.80,,T1:61.00,,T1F:360.50,,p2:0.67,,p3:0.22,,T2:26.00,,TR:18.00,,T2F:57.00,,p4:1.00,,T3:57.33,,
file:csv_files/outcome_0.7_0.35_0.6.csv,,p1:1.00,,T1:114.90,,T1F:NoData,,p2:0.62,,p3:0.23,,T2:25.80,,TR:72.00,,T2F:58.00,,p4:0.88,,T3:53.00,,
file:csv_files/outcome_0.6_0.4_0.6.csv,,p1:0.90,,T1:140.89,,T1F:360.00,,p2:1.00,,p3:0.00,,T2:30.33,,TR:NoData,,T2F:NoData,,p4:1.00,,T3:48.67,,
